PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,0.4,1.5,3,4.570518,1
1,PointCursor,0.2,1,3,0.7998899,0
1,PointCursor,0.8,1.5,5,0.6783974,0
PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,0.4,0.5,5,3.581271,1
1,PointCursor,0.2,0.5,5,1.067299,0
1,PointCursor,0.4,0.5,3,1.01,0
PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,0.4,0.5,2,4.812804,1
1,PointCursor,0.8,0.5,2,2.775894,0
1,PointCursor,0.4,0.3,1,2.931507,0
1,PointCursor,0.2,0.1,2,3.388805,0
1,PointCursor,0.4,0.1,1,2.78329,0
PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,0.4,0.3,1,5.962709,1
1,PointCursor,0.8,0.5,2,2.220601,0
1,PointCursor,0.8,0.1,1,2.427798,0
1,PointCursor,0.2,0.3,1,2.326594,0
1,PointCursor,0.2,0.5,2,2.376304,0
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.2,0.5,2,5.872825,1,0
1,PointCursor,0.8,0.5,2,2.047302,0,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.2,0.3,2,5.629078,1,0
1,PointCursor,0.2,0.5,2,2.929443,0,0
1,PointCursor,0.8,0.5,2,3.532269,0,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.4,0.5,2,5.755799,1,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.4,0.5,2,6.849945,1,0
1,PointCursor,0.8,0.5,2,2.097468,0,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.8,0.5,2,7.008785,1,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.4,0.3,2,6.318295,1,0
1,PointCursor,0.2,0.3,2,2.361523,0,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.4,0.3,2,15.93155,1,0
1,PointCursor,0.4,0.5,2,2.167646,0,0
PID,CT,A,W,EWW,MT,MissedClicks,MovingTargets
1,PointCursor,0.8,0.5,2,5.202634,1,0
1,PointCursor,0.2,0.3,2,2.69195,0,0
1,PointCursor,0.4,0.5,2,2.797351,0,0
1,PointCursor,0.2,0.5,2,2.364894,0,0
1,PointCursor,0.4,0.3,2,5.700509,1,0
